sample,factor,vintage,cultivar,groups
CS12_0_1_0,green,2012,CS,CS_time0_2012
CS12_0_2_0,green,2012,CS,CS_time0_2012
CS12_0_3_0,green,2012,CS,CS_time0_2012
CS12_A_1_1,green,2012,CS,CS_time1_2012
CS12_A_1_10,mature,2012,CS,CS_time10_2012
CS12_A_1_11,mature,2012,CS,CS_time11_2012
CS12_A_1_12,mature,2012,CS,CS_time12_2012
CS12_A_1_2,green,2012,CS,CS_time2_2012
CS12_A_1_3,green,2012,CS,CS_time3_2012
CS12_A_1_4,green,2012,CS,CS_time4_2012
CS12_A_1_5,mature,2012,CS,CS_time5_2012
CS12_A_1_6,mature,2012,CS,CS_time6_2012
CS12_A_1_7,mature,2012,CS,CS_time7_2012
CS12_A_1_8,mature,2012,CS,CS_time8_2012
CS12_A_1_9,mature,2012,CS,CS_time9_2012
CS12_A_2_1,green,2012,CS,CS_time1_2012
CS12_A_2_10,mature,2012,CS,CS_time10_2012
CS12_A_2_11,mature,2012,CS,CS_time11_2012
CS12_A_2_12,mature,2012,CS,CS_time12_2012
CS12_A_2_2,green,2012,CS,CS_time2_2012
CS12_A_2_3,green,2012,CS,CS_time3_2012
CS12_A_2_4,green,2012,CS,CS_time4_2012
CS12_A_2_5,mature,2012,CS,CS_time5_2012
CS12_A_2_6,mature,2012,CS,CS_time6_2012
CS12_A_2_7,mature,2012,CS,CS_time7_2012
CS12_A_2_8,mature,2012,CS,CS_time8_2012
CS12_A_2_9,mature,2012,CS,CS_time9_2012
CS12_A_3_1,green,2012,CS,CS_time1_2012
CS12_A_3_10,mature,2012,CS,CS_time10_2012
CS12_A_3_11,mature,2012,CS,CS_time11_2012
CS12_A_3_12,mature,2012,CS,CS_time12_2012
CS12_A_3_2,green,2012,CS,CS_time2_2012
CS12_A_3_3,green,2012,CS,CS_time3_2012
CS12_A_3_4,green,2012,CS,CS_time4_2012
CS12_A_3_5,mature,2012,CS,CS_time5_2012
CS12_A_3_6,mature,2012,CS,CS_time6_2012
CS12_A_3_7,mature,2012,CS,CS_time7_2012
CS12_A_3_8,mature,2012,CS,CS_time8_2012
CS12_A_3_9,mature,2012,CS,CS_time9_2012
CS13_0_1_0,green,2013,CS,CS_time0_2013
CS13_0_2_0,green,2013,CS,CS_time0_2013
CS13_0_3_0,green,2013,CS,CS_time0_2013
CS13_A_1_1,green,2013,CS,CS_time1_2013
CS13_A_1_10,mature,2013,CS,CS_time10_2013
CS13_A_1_11,mature,2013,CS,CS_time11_2013
CS13_A_1_12,mature,2013,CS,CS_time12_2013
CS13_A_1_13,mature,2013,CS,CS_time13_2013
CS13_A_1_2,green,2013,CS,CS_time2_2013
CS13_A_1_3,green,2013,CS,CS_time3_2013
CS13_A_1_4,green,2013,CS,CS_time4_2013
CS13_A_1_5,mature,2013,CS,CS_time5_2013
CS13_A_1_6,mature,2013,CS,CS_time6_2013
CS13_A_1_7,mature,2013,CS,CS_time7_2013
CS13_A_1_8,mature,2013,CS,CS_time8_2013
CS13_A_1_9,mature,2013,CS,CS_time9_2013
CS13_A_2_1,green,2013,CS,CS_time1_2013
CS13_A_2_10,mature,2013,CS,CS_time10_2013
CS13_A_2_11,mature,2013,CS,CS_time11_2013
CS13_A_2_12,mature,2013,CS,CS_time12_2013
CS13_A_2_13,mature,2013,CS,CS_time13_2013
CS13_A_2_2,green,2013,CS,CS_time2_2013
CS13_A_2_3,green,2013,CS,CS_time3_2013
CS13_A_2_4,green,2013,CS,CS_time4_2013
CS13_A_2_5,mature,2013,CS,CS_time5_2013
CS13_A_2_6,mature,2013,CS,CS_time6_2013
CS13_A_2_7,mature,2013,CS,CS_time7_2013
CS13_A_2_8,mature,2013,CS,CS_time8_2013
CS13_A_2_9,mature,2013,CS,CS_time9_2013
CS13_A_3_1,green,2013,CS,CS_time1_2013
CS13_A_3_10,mature,2013,CS,CS_time10_2013
CS13_A_3_11,mature,2013,CS,CS_time11_2013
CS13_A_3_12,mature,2013,CS,CS_time12_2013
CS13_A_3_13,mature,2013,CS,CS_time13_2013
CS13_A_3_2,green,2013,CS,CS_time2_2013
CS13_A_3_3,green,2013,CS,CS_time3_2013
CS13_A_3_4,green,2013,CS,CS_time4_2013
CS13_A_3_5,mature,2013,CS,CS_time5_2013
CS13_A_3_6,mature,2013,CS,CS_time6_2013
CS13_A_3_7,mature,2013,CS,CS_time7_2013
CS13_A_3_8,mature,2013,CS,CS_time8_2013
CS13_A_3_9,mature,2013,CS,CS_time9_2013
CS14_0_1_0,green,2014,CS,CS_time0_2014
CS14_0_2_0,green,2014,CS,CS_time0_2014
CS14_0_3_0,green,2014,CS,CS_time0_2014
CS14_A_1_1,green,2014,CS,CS_time1_2014
CS14_A_1_10,mature,2014,CS,CS_time10_2014
CS14_A_1_11,mature,2014,CS,CS_time11_2014
CS14_A_1_12,mature,2014,CS,CS_time12_2014
CS14_A_1_2,green,2014,CS,CS_time2_2014
CS14_A_1_3,green,2014,CS,CS_time3_2014
CS14_A_1_4,green,2014,CS,CS_time4_2014
CS14_A_1_5,mature,2014,CS,CS_time5_2014
CS14_A_1_6,mature,2014,CS,CS_time6_2014
CS14_A_1_7,mature,2014,CS,CS_time7_2014
CS14_A_1_8,mature,2014,CS,CS_time8_2014
CS14_A_1_9,mature,2014,CS,CS_time9_2014
CS14_A_2_1,green,2014,CS,CS_time1_2014
CS14_A_2_10,mature,2014,CS,CS_time10_2014
CS14_A_2_11,mature,2014,CS,CS_time11_2014
CS14_A_2_12,mature,2014,CS,CS_time12_2014
CS14_A_2_2,green,2014,CS,CS_time2_2014
CS14_A_2_3,green,2014,CS,CS_time3_2014
CS14_A_2_4,green,2014,CS,CS_time4_2014
CS14_A_2_5,mature,2014,CS,CS_time5_2014
CS14_A_2_6,mature,2014,CS,CS_time6_2014
CS14_A_2_7,mature,2014,CS,CS_time7_2014
CS14_A_2_8,mature,2014,CS,CS_time8_2014
CS14_A_2_9,mature,2014,CS,CS_time9_2014
CS14_A_3_1,green,2014,CS,CS_time1_2014
CS14_A_3_10,mature,2014,CS,CS_time10_2014
CS14_A_3_11,mature,2014,CS,CS_time11_2014
CS14_A_3_12,mature,2014,CS,CS_time12_2014
CS14_A_3_2,green,2014,CS,CS_time2_2014
CS14_A_3_3,green,2014,CS,CS_time3_2014
CS14_A_3_4,green,2014,CS,CS_time4_2014
CS14_A_3_5,mature,2014,CS,CS_time5_2014
CS14_A_3_6,mature,2014,CS,CS_time6_2014
CS14_A_3_7,mature,2014,CS,CS_time7_2014
CS14_A_3_8,mature,2014,CS,CS_time8_2014
CS14_A_3_9,mature,2014,CS,CS_time9_2014
PN12_0_1_0,green,2012,PN,PN_time0_2012
PN12_0_2_0,green,2012,PN,PN_time0_2012
PN12_0_3_0,green,2012,PN,PN_time0_2012
PN12_A_1_1,green,2012,PN,PN_time1_2012
PN12_A_1_2,green,2012,PN,PN_time2_2012
PN12_A_1_3,green,2012,PN,PN_time3_2012
PN12_A_1_4,mature,2012,PN,PN_time4_2012
PN12_A_1_5,mature,2012,PN,PN_time5_2012
PN12_A_1_6,mature,2012,PN,PN_time6_2012
PN12_A_1_7,mature,2012,PN,PN_time7_2012
PN12_A_1_8,mature,2012,PN,PN_time8_2012
PN12_A_1_9,mature,2012,PN,PN_time9_2012
PN12_A_2_1,green,2012,PN,PN_time1_2012
PN12_A_2_2,green,2012,PN,PN_time2_2012
PN12_A_2_3,green,2012,PN,PN_time3_2012
PN12_A_2_4,green,2012,PN,PN_time4_2012
PN12_A_2_5,mature,2012,PN,PN_time5_2012
PN12_A_2_6,mature,2012,PN,PN_time6_2012
PN12_A_2_7,mature,2012,PN,PN_time7_2012
PN12_A_2_8,mature,2012,PN,PN_time8_2012
PN12_A_2_9,mature,2012,PN,PN_time9_2012
PN12_A_3_1,green,2012,PN,PN_time1_2012
PN12_A_3_2,green,2012,PN,PN_time2_2012
PN12_A_3_3,green,2012,PN,PN_time3_2012
PN12_A_3_4,green,2012,PN,PN_time4_2012
PN12_A_3_5,mature,2012,PN,PN_time5_2012
PN12_A_3_6,mature,2012,PN,PN_time6_2012
PN12_A_3_7,mature,2012,PN,PN_time7_2012
PN12_A_3_8,mature,2012,PN,PN_time8_2012
PN12_A_3_9,mature,2012,PN,PN_time9_2012
PN13_0_1_0,green,2013,PN,PN_time0_2013
PN13_0_2_0,green,2013,PN,PN_time0_2013
PN13_0_3_0,green,2013,PN,PN_time0_2013
PN13_A_1_1,green,2013,PN,PN_time1_2013
PN13_A_1_10,mature,2013,PN,PN_time10_2013
PN13_A_1_2,green,2013,PN,PN_time2_2013
PN13_A_1_3,green,2013,PN,PN_time3_2013
PN13_A_1_4,green,2013,PN,PN_time4_2013
PN13_A_1_5,mature,2013,PN,PN_time5_2013
PN13_A_1_6,mature,2013,PN,PN_time6_2013
PN13_A_1_7,mature,2013,PN,PN_time7_2013
PN13_A_1_8,mature,2013,PN,PN_time8_2013
PN13_A_1_9,mature,2013,PN,PN_time9_2013
PN13_A_2_1,green,2013,PN,PN_time1_2013
PN13_A_2_10,mature,2013,PN,PN_time10_2013
PN13_A_2_2,green,2013,PN,PN_time2_2013
PN13_A_2_3,green,2013,PN,PN_time3_2013
PN13_A_2_4,green,2013,PN,PN_time4_2013
PN13_A_2_5,mature,2013,PN,PN_time5_2013
PN13_A_2_6,mature,2013,PN,PN_time6_2013
PN13_A_2_7,mature,2013,PN,PN_time7_2013
PN13_A_2_8,mature,2013,PN,PN_time8_2013
PN13_A_2_9,mature,2013,PN,PN_time9_2013
PN13_A_3_1,green,2013,PN,PN_time1_2013
PN13_A_3_10,mature,2013,PN,PN_time10_2013
PN13_A_3_2,green,2013,PN,PN_time2_2013
PN13_A_3_3,green,2013,PN,PN_time3_2013
PN13_A_3_4,green,2013,PN,PN_time4_2013
PN13_A_3_5,mature,2013,PN,PN_time5_2013
PN13_A_3_6,mature,2013,PN,PN_time6_2013
PN13_A_3_7,mature,2013,PN,PN_time7_2013
PN13_A_3_8,mature,2013,PN,PN_time8_2013
PN13_A_3_9,mature,2013,PN,PN_time9_2013
PN14_0_1_0,green,2014,PN,PN_time0_2014
PN14_0_2_0,green,2014,PN,PN_time0_2014
PN14_0_3_0,green,2014,PN,PN_time0_2014
PN14_A_1_1,green,2014,PN,PN_time1_2014
PN14_A_1_10,mature,2014,PN,PN_time10_2014
PN14_A_1_11,mature,2014,PN,PN_time11_2014
PN14_A_1_2,green,2014,PN,PN_time2_2014
PN14_A_1_3,green,2014,PN,PN_time3_2014
PN14_A_1_4,green,2014,PN,PN_time4_2014
PN14_A_1_5,mature,2014,PN,PN_time5_2014
PN14_A_1_6,mature,2014,PN,PN_time6_2014
PN14_A_1_7,mature,2014,PN,PN_time7_2014
PN14_A_1_8,mature,2014,PN,PN_time8_2014
PN14_A_1_9,mature,2014,PN,PN_time9_2014
PN14_A_2_1,green,2014,PN,PN_time1_2014
PN14_A_2_10,mature,2014,PN,PN_time10_2014
PN14_A_2_11,mature,2014,PN,PN_time11_2014
PN14_A_2_2,green,2014,PN,PN_time2_2014
PN14_A_2_3,green,2014,PN,PN_time3_2014
PN14_A_2_4,green,2014,PN,PN_time4_2014
PN14_A_2_5,mature,2014,PN,PN_time5_2014
PN14_A_2_6,mature,2014,PN,PN_time6_2014
PN14_A_2_7,mature,2014,PN,PN_time7_2014
PN14_A_2_8,mature,2014,PN,PN_time8_2014
PN14_A_2_9,mature,2014,PN,PN_time9_2014
PN14_A_3_1,green,2014,PN,PN_time1_2014
PN14_A_3_10,mature,2014,PN,PN_time10_2014
PN14_A_3_11,mature,2014,PN,PN_time11_2014
PN14_A_3_2,green,2014,PN,PN_time2_2014
PN14_A_3_3,green,2014,PN,PN_time3_2014
PN14_A_3_4,green,2014,PN,PN_time4_2014
PN14_A_3_5,mature,2014,PN,PN_time5_2014
PN14_A_3_6,mature,2014,PN,PN_time6_2014
PN14_A_3_7,mature,2014,PN,PN_time7_2014
PN14_A_3_8,mature,2014,PN,PN_time8_2014
PN14_A_3_9,mature,2014,PN,PN_time9_2014
